User Hand Value, Shown Dealer Value, User Hit, Won
11, 2, False, False
11, 2, False, False
11, 2, False, True
11, 2, False, True
11, 2, False, True
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, True
11, 2, False, True
11, 2, False, True
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, True
11, 2, False, True
11, 2, False, True
11, 2, False, True
11, 2, False, False
11, 2, False, True
11, 2, False, True
11, 2, False, True
11, 2, False, False
11, 2, False, True
11, 2, False, False
11, 2, False, False
11, 2, False, True
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, True
11, 2, False, True
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, True
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, True
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, True
11, 2, False, False
11, 2, False, False
11, 2, False, True
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, True
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, True
11, 2, False, True
11, 2, False, False
11, 2, False, True
11, 2, False, False
11, 2, False, True
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, True
11, 2, False, False
11, 2, False, True
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, True
11, 2, False, False
11, 2, False, False
11, 2, False, True
11, 2, False, False
11, 2, False, True
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, True
11, 2, False, False
11, 2, False, True
11, 2, False, True
11, 2, False, True
11, 2, False, True
11, 2, False, True
11, 2, False, True
11, 2, False, False
11, 2, False, False
11, 2, False, True
11, 2, False, True
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, True
11, 2, False, True
11, 2, False, True
11, 2, False, False
11, 2, False, True
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, True
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, True
11, 2, False, True
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, True
11, 2, False, True
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, True
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, True
11, 2, False, False
11, 2, False, False
11, 2, False, False
11, 2, False, False
